$ACRAW,960,-208,-16256,-4,81,382*C5
$ACRAW,928,-192,-16192,0,82,383*07
$ACRAW,960,-272,-16256,3,85,385*87
$ACRAW,928,-240,-16240,4,73,380*97
$ACRAW,960,-304,-16272,12,81,385*A4
$ACRAW,912,-256,-16224,8,76,384*87
$ACRAW,912,-256,-16240,3,79,383*97
$ACRAW,928,-192,-16224,4,79,389*47
$ACRAW,896,-272,-16176,7,86,387*47
$ACRAW,928,-192,-16192,2,78,380*47
$ACRAW,896,-288,-16208,2,78,387*F7
$ACRAW,928,-288,-16208,6,79,377*17
$ACRAW,912,-256,-16208,-2,87,384*F5
$ACRAW,960,-256,-16192,4,79,386*27
$ACRAW,912,-240,-16208,8,82,387*97
$ACRAW,944,-192,-16160,-5,82,386*A5
$ACRAW,928,-288,-16256,4,78,382*37
$ACRAW,992,-192,-16224,-1,80,385*75
$ACRAW,960,-192,-16256,6,88,385*D7
$ACRAW,960,-192,-16272,4,68,379*47
$ACRAW,944,-240,-16256,6,79,379*A7
$ACRAW,960,-192,-16160,6,71,381*97
$ACRAW,928,-192,-16256,6,86,379*C7
$ACRAW,880,-192,-16224,6,79,381*D7
$ACRAW,992,-192,-16144,8,80,390*27
$ACRAW,944,-192,-16224,6,79,389*C7
$ACRAW,928,-192,-16192,8,72,389*D7
$ACRAW,896,-288,-16240,-5,80,379*F5
$ACRAW,960,-192,-16224,7,83,384*37
$ACRAW,944,-304,-16240,6,76,386*37
$ACRAW,912,-272,-16240,5,83,379*97
$ACRAW,928,-272,-16208,-1,80,388*85
$ACRAW,960,-304,-16240,-1,77,373*45
$ACRAW,944,-192,-16240,6,80,381*07
$ACRAW,944,-256,-16224,-1,71,376*55
$ACRAW,896,-192,-16256,9,74,381*D7
$ACRAW,944,-304,-16256,6,71,392*67
$ACRAW,928,-192,-16272,-4,79,380*35
$ACRAW,992,-192,-16256,8,74,385*D7
$ACRAW,912,-224,-16240,9,79,384*17
$ACRAW,912,-224,-16240,2,87,381*E7
$ACRAW,896,-288,-16224,0,79,381*47
$ACRAW,960,-192,-16224,2,78,389*F7
$ACRAW,944,-192,-16240,-5,78,376*15
$ACRAW,960,-192,-16224,6,72,379*E7
$ACRAW,960,-192,-16240,8,79,376*67
$ACRAW,944,-192,-16160,7,84,386*37
$ACRAW,912,-192,-16272,4,74,382*87
$ACRAW,960,-288,-16272,5,82,387*87
$ACRAW,960,-320,-16304,0,76,388*A7
$ACRAW,992,-192,-16256,8,83,388*87
$ACRAW,912,-192,-16192,0,86,389*77
$ACRAW,944,-272,-16224,4,83,380*F7
$ACRAW,912,-272,-16240,3,74,383*27
$ACRAW,976,-336,-16336,4,82,380*C7
$ACRAW,912,-192,-16192,6,81,367*67
$ACRAW,976,-272,-16160,5,75,383*67
$ACRAW,912,-288,-16304,11,80,379*B4
$ACRAW,976,-192,-16224,16,83,387*74
$ACRAW,912,-192,-16272,17,84,381*64
$ACRAW,976,-192,-16224,12,84,377*B4
$ACRAW,944,-240,-16224,-2,79,383*35
$ACRAW,944,-192,-16240,5,86,377*C7
$ACRAW,960,-256,-16192,5,79,385*07
$ACRAW,912,-272,-16240,0,77,381*07
$ACRAW,960,-288,-16320,6,78,387*87
$ACRAW,928,-192,-16240,1,76,380*57
$ACRAW,944,-256,-16256,2,78,374*57
$ACRAW,992,-192,-16256,7,81,388*57
$ACRAW,960,-192,-16240,2,73,387*87
$ACRAW,1008,-272,-16240,-1,78,376*86
$ACRAW,896,-240,-16240,5,74,385*E7
$ACRAW,928,-272,-16192,-5,84,385*55
$ACRAW,960,-256,-16240,-4,78,384*05
$ACRAW,976,-192,-16288,4,77,391*E7
$ACRAW,912,-288,-16352,-4,82,381*45
$ACRAW,928,-192,-16192,4,70,379*C7
$ACRAW,928,-192,-16224,9,79,383*37
$ACRAW,944,-192,-16208,5,73,388*A7
$ACRAW,944,-192,-16192,7,88,389*D7
$ACRAW,912,-192,-16224,6,77,385*D7
$ACRAW,944,-208,-16240,-2,78,382*D5
$ACRAW,1024,-336,-16240,7,71,381*D4
$ACRAW,976,-272,-16288,-5,71,385*C5
$ACRAW,928,-272,-16240,4,72,386*F7
$ACRAW,960,-192,-16176,3,82,376*F7
