ADATA 560 -768 -16176
MDATA -164 -365 329
ADATA 480 -816 -16160
MDATA -174 -365 331
ADATA 480 -832 -16208
MDATA -179 -355 330
ADATA 528 -768 -16192
MDATA -179 -360 328
ADATA 544 -848 -16144
MDATA -176 -363 330
ADATA 528 -800 -16160
MDATA -176 -365 336
ADATA 496 -768 -16176
MDATA -180 -350 332
ADATA 496 -816 -16128
MDATA -180 -373 329
ADATA 480 -800 -16144
MDATA -175 -358 332
ADATA 528 -800 -16192
MDATA -168 -366 334
ADATA 528 -752 -16128
MDATA -177 -355 345
ADATA 560 -784 -16176
MDATA -166 -363 329
ADATA 528 -704 -16176
MDATA -172 -362 340
ADATA 1136 -544 -16144
MDATA -177 -359 330
ADATA -256 -1088 -16096
MDATA -177 -367 331
ADATA 592 -1072 -16032
MDATA -180 -369 332
ADATA 896 -1104 -16032
MDATA -168 -362 337
ADATA 1216 -896 -16032
MDATA -174 -359 336
ADATA 832 -352 -15408
MDATA -183 -369 320
ADATA 1344 -816 -15504
MDATA -184 -381 324
ADATA 48 576 -16896
MDATA -155 -388 308
ADATA 176 864 -15776
MDATA -158 -404 301
ADATA 80 1952 -15808
MDATA -151 -434 264
ADATA -192 3920 -13584
MDATA -148 -477 213
ADATA 816 6576 -14080
MDATA -136 -501 152
ADATA 608 8160 -14400
MDATA -138 -521 100
ADATA 448 9488 -13568
MDATA -128 -529 62
ADATA 1376 9744 -12384
MDATA -129 -534 22
ADATA -320 11264 -11152
MDATA -125 -541 -17
ADATA -912 12272 -9344
MDATA -132 -531 -67
ADATA -432 12672 -9808
MDATA -119 -522 -95
ADATA 976 13728 -8288
MDATA -132 -517 -138
ADATA -32 14592 -6592
MDATA -118 -505 -164
ADATA -1952 15216 -6160
MDATA -96 -507 -186
ADATA -2016 15680 -5600
MDATA -99 -482 -218
ADATA -16 14784 -5024
MDATA -89 -467 -245
ADATA 1328 14912 -4512
MDATA -87 -456 -256
ADATA -112 15520 -2272
MDATA -95 -453 -283
